datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/1/2012 0:00,farmingdale,ny,us,circle,300,5 minutes,Approx. 9 orb crafts flying in groups go 3 in v formation over farmingdale ny airspace at midnight on near years day,3/13/2012,40.7325,-73.4458333
1/1/2012 0:00,high ridge,mo,us,other,120,few minutes,Reddish orange silent orb on new years eve 2012 Missouri,1/12/2012,38.4588889,-90.5363889
1/1/2012 0:00,phoenix,az,us,oval,180,3 minites,Red orb.,1/24/2012,33.4483333,-112.0733333
1/1/2012 0:00,sykesville,md,us,circle,3600,1 hour,Weird orange/red balloon lights on New Year&#39s Eve in Syskesville,3/13/2012,39.3736111,-76.9680556
1/1/2012 0:01,anchorage,ak,us,light,90,about 1.5 minutes,New Years morning 2012. 5 lights by southern mountains outside Anchorage&#44 AK,1/12/2012,61.2180556,-149.9002778
1/1/2012 0:01,seattle (northgate),wa,us,oval,210,3.5 min,Big amber oval seen traveling north over Peugot Sound just after midnight?,1/12/2012,47.6063889,-122.3308333
1/1/2012 0:01,tulalip,wa,us,oval,30,30 secodns,Craft appeared to be an oval light&#44 red and yellow&#44 silently drifting over Port Susan&#44 Wa.,1/12/2012,48.0686111,-122.2905556
1/1/2012 0:03,marietta,ga,us,light,600,10 minutes,Three orange lights in sky on New Year&#39s Eve in Marietta&#44 GA,1/12/2012,33.9525,-84.55
1/1/2012 0:04,round rock,tx,us,circle,180,3 minutes,7 bright&#44 reddish-orange orbs seen flying in a row,1/12/2012,30.5080556,-97.6786111
1/1/2012 0:05,bonita springs,fl,us,fireball,180,3 minutes,Orange ball of light moving horizontally through the sky towards the Gulf of Mexico.,1/12/2012,26.3394444,-81.7788889
1/1/2012 0:05,la mesa,ca,us,fireball,60,1 min,Mr. Davenport&#44  On Jan. 1&#44 2012&#44 as I went outside to listen to the gunfire and people celebrating (1205am)&#44 I saw 4 orange&#44 almost red,1/24/2012,32.7677778,-117.0222222
1/1/2012 0:06,la mesa,ca,us,oval,90,90 seconds,4 round orbs&#44 hovered for about 90 seconds&#44came from behind a tree in front yard&#44 they were orange/red&#44 then faded out.,1/24/2012,32.7677778,-117.0222222
