datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/1/2006 0:06,san francisco,ca,us,light,900,15 minutes,I saw 4 groups of small glowing orange lights generally traveling North&#44 one of which made a manuever impossible to any known aircraft.,2/14/2006,37.775,-122.4183333
1/1/2006 15:45,castle rock,co,us,,600,5 to 10 min.,Bright light in early sunday afternoon sky&#44 looking west nothing else in sky but the sun.,2/14/2006,39.3722222,-104.8555556
1/1/2006 17:00,albuquerque,nm,us,changing,60,1 minute,Vertical&#44 white cigar shaped object&#44 seperated into 3 white round spinning objects&#44 disappeared and a gold metallic object appeard.,3/11/2006,35.0844444,-106.6505556
1/1/2006 22:30,milligan,ca,us,diamond,1800,30 minutes,Dozens of spacecraft strobing white lights with one red (appearing diamond shaped) headed to southwest.,2/14/2006,34.2766667,-115.1694444
1/1/2006 22:30,rice,ca,us,diamond,1800,30 minutes,25-50 aircrafts white and one red light(diamond shaped) strobing furiously headed in one direction,2/14/2006,34.0836111,-114.8488889
1/2/2006 0:00,ann arbor,mi,us,changing,300,5 mins,Probable HOAX:  5 ufos&#44 silent black objects&#44 moving slowly,10/30/2006,42.2708333,-83.7263889
1/2/2006 11:39,pie town,nm,us,diamond,10800,3 hours,14 dimond shaped objects cought on NRAO website cam,2/14/2006,34.2983333,-108.1341667
1/2/2006 14:30,venice,fl,us,circle,300,approximately 5 minutes,Small black object seen over Venice&#44 Fl,2/14/2006,27.0994444,-82.4544444
1/2/2006 17:15,harlingen,tx,us,cone,420,7 mins,Cone shape that changed to circle  seen over Tamaulipas Mexico from Harlingen Texas.,2/14/2006,26.1902778,-97.6958333
1/2/2006 19:00,cairo,il,us,light,600,10 min,This is a follow up on my last report&#44 one more witness. strange pulsating lights in cloud&#44 over alex. and pulaski counties in so. il.,2/14/2006,37.0052778,-89.1763889
