datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
1/1/2011 0:00,clarksburg,wv,us,oval,300,5 mins,three orange glowing balls.,1/5/2011,39.2805556,-80.3447222
1/1/2011 0:00,farmington hills,mi,us,circle,900,appx. 15 mins,Series of red lights moving in a wave-like line.,1/5/2011,42.4852778,-83.3772222
1/1/2011 0:00,joppatowne,md,us,fireball,90,1:30,Silent Red Light of New Years,1/5/2011,39.4577778,-76.3555556
1/1/2011 0:00,lincoln city,or,us,light,10,10 seconds,irratic star movement,1/31/2011,44.9583333,-124.0166667
1/1/2011 0:01,seminole,fl,us,light,1200,20 minutes,UFO&#39s over Florida on New Year&#39s Eve 2011,1/31/2011,27.8394444,-82.7913889
1/1/2011 0:02,woodbridge,va,us,light,360,approx 6 minutes,A group of six watches and videotapes seven UFOs flying over Northern Virginia minutes after the start of the New Year.,1/5/2011,38.6580556,-77.25
1/1/2011 0:05,redlands,ca,us,sphere,900,15 minutes,Possible balloons with ignition sources launched over Mentone for New Year&#39s celebration.,1/5/2011,34.0555556,-117.1816667
1/1/2011 0:07,reynoldsburg,oh,us,circle,10,8-10 seconds,flame colored circle cruised slowly&#44 turns&#44 and vanishes at astonishing speed,1/5/2011,39.9547222,-82.8122222
1/1/2011 0:07,salt lake city,ut,us,fireball,300,~ 5 min,Just wanted to report UFO (Unidentified Flying Object) sighting over SLC with a extremley bright orange aura. I know the sound of chopp,1/5/2011,40.7608333,-111.8902778
1/1/2011 0:10,guffey,co,us,fireball,300,5 minutes,Large &amp; small fireballs ring in the New Year 2011 in CO,3/23/2011,38.7511111,-105.5208333
1/1/2011 0:11,bradenton,fl,us,triangle,60.3,1 min. 30 sec,red-amber colored lights in the shape of a triangle&#44 one light in middle moving at a low altitude at a slow rate of speed.,1/5/2011,27.4986111,-82.575
1/1/2011 0:13,oak lawn,il,us,fireball,20,20 seconds,Square Shaped with fire in middle and birds/fish found dead,1/5/2011,41.7108333,-87.7580556
1/1/2011 0:15,katy,tx,us,sphere,30,30 seconds,3 orange lights in a triangular form followed by one more,1/5/2011,29.7855556,-95.8241667
1/1/2011 0:30,manhattan,il,us,fireball,600,10 minutes,5 fireball like objects were seen moving east bound.,1/5/2011,41.4225,-87.9858333
